===============================================================
Date        : Wed May 13 10:49:42 AM -03 2026
SubmitHost  : cei2
SubmitDir   : /home/users/matregnago/intro_hpc
JobID       : 782087
Node(s)     : cei2
===============================================================
[12:01:28] 0170_parsec_lfq_dpotrf_n21600_b480_rep2
[12:01:34] 0171_parsec_lfq_dgeqrf_n12000_b480_rep2
[12:01:39] 0173_parsec_gd_dgeqrf_n28800_b480_rep2
[12:02:53] 0175_parsec_gd_dgeqrf_n12000_b480_rep2
[12:02:58] 0176_parsec_lfq_dpotrf_n14400_b480_rep2
[12:03:00] 0177_parsec_lfq_dgeqrf_n19200_b480_rep2
[12:03:23] 0183_parsec_gd_dpotrf_n21600_b480_rep2
[12:03:28] 0185_parsec_lfq_dgeqrf_n7200_b480_rep2
[12:03:30] 0187_parsec_gd_dpotrf_n9600_b480_rep2
[12:03:30] 0188_parsec_lfq_dgeqrf_n24000_b480_rep2
[12:04:14] 0189_parsec_gd_dgeqrf_n9600_b480_rep2
[12:04:17] 0192_parsec_gd_dpotrf_n19200_b480_rep2
[12:04:21] 0193_parsec_lfq_dpotrf_n12000_b480_rep3
[12:04:22] 0194_parsec_gd_dgeqrf_n19200_b480_rep3
[12:04:44] 0195_parsec_lfq_dpotrf_n7200_b480_rep3
[12:04:44] 0196_parsec_gd_dgeqrf_n16800_b480_rep3
[12:04:59] 0197_parsec_lfq_dgeqrf_n2400_b480_rep3
[12:05:00] 0198_parsec_gd_dgeqrf_n9600_b480_rep3
[12:05:03] 0201_parsec_lfq_dgeqrf_n28800_b480_rep3
[12:06:17] 0202_parsec_gd_dgeqrf_n7200_b480_rep3
[12:06:18] 0206_parsec_gd_dpotrf_n28800_b480_rep3
[12:06:31] 0207_parsec_lfq_dgeqrf_n9600_b480_rep3
[12:06:34] 0208_parsec_lfq_dpotrf_n28800_b480_rep3
[12:06:48] 0209_parsec_gd_dpotrf_n2400_b480_rep3
[12:06:48] 0213_parsec_gd_dgeqrf_n28800_b480_rep3
[12:08:01] 0215_parsec_lfq_dgeqrf_n16800_b480_rep3
[12:08:16] 0219_parsec_gd_dgeqrf_n4800_b480_rep3
[12:08:17] 0222_parsec_gd_dgeqrf_n14400_b480_rep3
[12:08:27] 0224_parsec_gd_dgeqrf_n2400_b480_rep3
[12:08:27] 0228_parsec_lfq_dgeqrf_n14400_b480_rep3
[12:08:37] 0229_parsec_gd_dpotrf_n16800_b480_rep3
[12:08:40] 0231_parsec_lfq_dgeqrf_n21600_b480_rep3
[12:09:11] 0233_parsec_lfq_dgeqrf_n24000_b480_rep3
[12:09:55] 0235_parsec_lfq_dpotrf_n19200_b480_rep3
[12:09:59] 0242_parsec_gd_dpotrf_n14400_b480_rep3
[12:10:00] 0244_parsec_lfq_dpotrf_n26400_b480_rep3
[12:10:11] 0246_parsec_lfq_dpotrf_n24000_b480_rep3
[12:10:19] 0247_parsec_gd_dpotrf_n7200_b480_rep3
[12:10:19] 0248_parsec_lfq_dgeqrf_n26400_b480_rep3
[12:11:18] 0255_parsec_gd_dpotrf_n9600_b480_rep3
[12:11:18] 0257_parsec_lfq_dgeqrf_n19200_b480_rep3
[12:11:41] 0258_parsec_gd_dpotrf_n21600_b480_rep3
[12:11:46] 0260_parsec_lfq_dgeqrf_n7200_b480_rep3
[12:11:48] 0262_parsec_gd_dgeqrf_n12000_b480_rep3
[12:11:54] 0265_parsec_lfq_dpotrf_n21600_b480_rep3
[12:12:00] 0266_parsec_gd_dpotrf_n24000_b480_rep3
[12:12:07] 0267_parsec_gd_dpotrf_n4800_b480_rep3
[12:12:08] 0268_parsec_lfq_dgeqrf_n4800_b480_rep3
[12:12:08] 0269_parsec_gd_dgeqrf_n21600_b480_rep3
